program_code,program_name,university,institution,domain
16318,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻮﻃﻨﻲ ﻟﻠﺸﻐﻞ ﻭﺍﻟﺪﺭﺍﺳﺎﺕ ﺍﻹﺟﺘﻤﺎﻋﻴﺔ ﺑﺘﻮﻧﺲ,ﺍﻟﻌﻠﻮﻡ ﺍﻹﻗﺘﺼﺎﺩﻳﺔ ﻭﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ
20311,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺇﻋﻼﻣﻴﺔ ﺍﻟﺘـﺼـﺮﻑ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﺘﺼﺮﻑ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20312,ﺍﻻﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻌﻠﻮﻡ ﺍﻻﻗﺘﺼﺎﺩﻳﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﺘﺼﺮﻑ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻹﻗﺘﺼﺎﺩﻳﺔ ﻭﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ
20318,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﻌﺎﻟﻲ ﻟﻠﺘﺼﺮﻑ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻹﻗﺘﺼﺎﺩﻳﺔ ﻭﻋﻠﻮﻡ ﺍﻟﺘﺼﺮﻑ
20501,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻜﻴﻤﻴﺎﺀ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20502,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻔﻴﺰﻳﺎﺀ ﻭ ﺍﻟﻜﻴﻤﻴﺎﺀ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20503,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻔﻴﺰﻳﺎﺀ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20504,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﻔﻴﺰﻳﺎﺀ ﻭ ﺍﻟﻄﺎﻗﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20507,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﺍﻟﺮﻳﺎﺿﻴﺎﺕ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20509,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻷﺣﻴﺎﺀ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20510,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻷﺭﺽ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20512,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻷﺣﻴﺎﺀ ﻭ ﺍﻟﻤﺤﻴﻂ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20513,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻟﺤﻴﺎﺓ ﻭ ﺍﻷﺭﺽ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20518,ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻣﻨﺪﻣﺠﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ
20522,ﻣﺮﺣﻠﺔ ﺗﺤﻀﻴﺮﻳﺔ ﻋﻠﻤﻴﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﺍﻟﻤﻌﻬﺪ ﺍﻟﺘﺤﻀﻴﺮﻱ ﻟﻠﺪﺭﺍﺳﺎﺕ ﺍﻟﻬﻨﺪﺳﻴﺔ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻬﻨﺪﺳﺔ ﺍﻟﻤﻌﻤﺎﺭﻳﺔ ﻭﺍﻟﻤﺮﺍﺣﻞ ﺍﻟﺘﺤﻀﻴﺮﻳﺔ ﺍﻟﻌﻠﻤﻴﺔ
20523,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻋﻠﻮﻡ ﺍﻹﻋﻼﻣﻴﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
20524,ﺍﻹﺟﺎﺯﺓ ﻓﻲ ﻫﻨﺪﺳﺔ ﻧﻈﻢ ﺍﻹﻋﻼﻣﻴﺔ,ﺟﺎﻣﻌﺔ ﻗﺮﻃﺎﺝ,ﻛﻠﻴﺔ ﺍﻟﻌﻠﻮﻡ ﺑﺒﻨﺰﺭﺕ,ﺍﻟﻌﻠﻮﻡ ﺍﻟﺼﺤﻴﺤﺔ ﻭﺍﻟﺘﻜﻨﻮﻟﻮﺟﻴﺎ
