program_code_3digit,formula,bac_type
673,FG+M,Sciences Techniques
673,FG+M,Economie et Gestion
700,FG+SVT,Lettres
700,FG+SVT,Mathematiques
700,FG+SVT,Sciences Experimentales
700,FG+SB,Sport
701,FG+SVT,Lettres
701,FG+(SP+SVT)/2,Mathematiques
701,FG+(SP+SVT)/2,Sciences Experimentales
701,FG+(SP+SB)/2,Sport
702,FG+SVT,Lettres
702,FG+SVT,Mathematiques
702,FG+SVT,Sciences Experimentales
702,FG+SB,Sport
739,FG+SVT,Mathematiques
739,FG+SVT,Sciences Experimentales
739,FG+SP,Sciences Techniques
740,FG+SVT,Mathematiques
740,FG+SVT,Sciences Experimentales
741,FG+SVT,Mathematiques
741,FG+SVT,Sciences Experimentales
742,FG+SVT,Lettres
742,FG+SVT,Mathematiques
742,FG+SVT,Sciences Experimentales
742,FG+SB,Sport
743,FG+(SP+SVT)/2,Mathematiques
743,FG+(SP+SVT)/2,Sciences Experimentales
744,FG+SVT,Lettres
744,FG+SVT,Mathematiques
744,FG+SVT,Sciences Experimentales
744,FG+SB,Sport
745,FG+SVT,Lettres
745,FG+SVT,Mathematiques
745,FG+SVT,Sciences Experimentales
746,FG+SVT,Mathematiques
746,FG+SVT,Sciences Experimentales
747,FG+SVT,Lettres
747,FG+SVT,Mathematiques
747,FG+SVT,Sciences Experimentales
747,FG+SVT,Sport
748,FG+SVT,Lettres
748,FG+SVT,Mathematiques
748,FG+SVT,Sciences Experimentales
748,FG+SB,Sport
749,FG+(M+SP)/2,Mathematiques
749,FG+(M+SP)/2,Sciences Experimentales
750,FG+SVT,Mathematiques
750,FG+SVT,Sciences Experimentales
752,FG+SVT,Lettres
752,FG+SVT,Mathematiques
752,FG+SVT,Sciences Experimentales
752,FG+SB,Sport
753,FG+(SP+SVT)/2,Mathematiques
753,FG+(SP+SVT)/2,Sciences Experimentales
754,FG+SVT,Lettres
754,FG+SVT,Mathematiques
754,FG+SVT,Sciences Experimentales
754,FG+SB,Sport
759,FG+SP,Informatique
759,FG+(SP+SVT)/2,Mathematiques
759,FG+(SP+SVT)/2,Sciences Experimentales
759,FG+SP,Sciences Techniques
760,FG+SVT,Lettres
760,FG+SVT,Mathematiques
760,FG+SVT,Sciences Experimentales
760,FG+SB,Sport
797,FG+SVT,Lettres
797,FG+SVT,Mathematiques
797,FG+SVT,Sciences Experimentales
797,FG+SB,Sport
799,FG+SVT,Lettres
799,FG+SVT,Mathematiques
799,FG+SVT,Sciences Experimentales
799,FG+SB,Sport
832,FG+(M+SP+SVT)/3,Mathematiques
832,FG+(M+SP+SVT)/3,Sciences Experimentales
840,FG+(SP+SVT)/2,Mathematiques
840,FG+(SP+SVT)/2,Sciences Experimentales
841,FG+(SP+SVT)/2,Mathematiques
841,FG+(SP+SVT)/2,Sciences Experimentales
842,FG+SVT,Lettres
842,FG+SVT,Mathematiques
842,FG+SVT,Sciences Experimentales
842,FG+SP,Sciences Techniques
844,FG+SVT,Mathematiques
844,FG+SVT,Sciences Experimentales
844,FG+TE,Sciences Techniques
846,FG+(SP+SVT)/2,Mathematiques
846,FG+(SP+SVT)/2,Sciences Experimentales
846,FG+SP,Sciences Techniques
