fiche_id,نوع الشهادة الجامعية,مدة الدراسة,المجال,التخصصات,صيغة حساب مجموع النقاط,التنفيل الجغرافي 7%,تتطلب اجتياز اختبارات مسبقة,لها شروط خاصة,آفاق جامعية,آفاق مهنية
1,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
2,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
3,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
4,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
5,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
6,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
7,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
8,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
9,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
10,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
11,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
12,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
13,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
14,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
15,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
16,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
17,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
18,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
19,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
20,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
21,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
22,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
23,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
24,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
25,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
26,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
27,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
28,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
29,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
30,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
31,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
32,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
33,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
34,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
35,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
36,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
37,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
38,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
39,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
40,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
41,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الثقافة والتراث,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
42,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الثقافة والتراث,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
43,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الثقافة والتراث,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
44,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الثقافة والتراث,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
45,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الثقافة والتراث,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
46,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
47,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
48,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
49,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
50,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
51,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
52,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
53,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
54,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
55,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,اللغة والآدب والحضارة العربية,FG+AR,نعم,لا,لا,ماجستير بحث,أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها
56,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
57,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
58,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
59,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
60,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
61,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
62,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
63,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
64,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
65,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
66,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
67,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
68,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
69,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
70,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
71,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
72,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
73,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
74,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
75,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
76,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,الإنقليزية و العلاقات الدولية+اللغة والآدب والحضارة اﻹﻧﻘﻠﻴﺰية,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
77,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
78,الشهادة الوطنية للإجازة,03 سنوات,الآداب واللغات والمراحل التحضيرية الأدبية,ﺍﻟﻠﻐﺔ ﻭﺍﻵﺩﺍﺏ ﻭﺍﳊﻀﺎﺭﺓ ﺍﻹﻧﻘﻠﻴﺰﻳﺔ,FG+ANG,نعم,لا,لا,ماجستير بحث-ماجستير مهني,أستاذ إنقليزية بالتعليم الإعدادي والثانوي أو السلك المشترك بالجامعة أو بالتكوين المهني+السياحة+المؤسسات الاقتصادية الأجنبية+المنظمات الدولية+البعثات الديبلوماسية+الترجمة
